1089,Warm Tan,CCA373,371
78,Light Nougat,F6D7B3,283
1004,Trans-Flame Yellowish Orange,FCB76D,231
484,Dark Orange,A95500,38
25,Orange,FE8A18,106
178,Flat Dark Gold,B48455,147
1085,Two-tone Silver,737271,179
57,Trans-Neon Orange,FF800D,47
1064,Fabuland Red,FF8014,13
84,Medium Nougat,AA7D55,312
450,Fabuland Brown,B67B50,4
1088,Medium Brown,755945,370
1084,Two-tone Gold,AB673A,178
92,Nougat,D09168,18
1137,Sienna Brown,915C3C,422
6,Brown,583927,25
1056,Opal Trans-Brown,583927,363
134,Copper,AE7A59,139
70,Reddish Brown,582A12,192
1136,Reddish Orange,CA4C0B,402
86,Light Brown,7C503A,217
1067,Dark Nougat,AD6140,128
1092,Metallic Copper,764D3B,300
1072,Pearl Brown,57392C,187
1138,Umber Brown,5E3F33,423
1140,Neon Orange,EC4612,133
1081,Rust Orange,872B17,216
1068,Bright Reddish Orange,EE5434,123
12,Salmon,F2705E,101
1083,Two-tone Copper,945148,176
4,Red,C91A09,21
36,Trans-Red,C91A09,41
335,Sand Red,D67572,153
79,Milky White,FFFFFF,20
47,Trans-Clear,FCFCFC,40
183,Pearl White,F2F3F2,183
503,Very Light Gray,E6E3DA,103
151,Very Light Bluish Gray,E6E3E0,208
383,Chrome Silver,E0E0E0,309
21,Glow In Dark Opaque,D4D5C9,50
80,Metallic Silver,A5A9B4,336
150,Pearl Very Light Gray,ABADAC,150
71,Light Bluish Gray,A0A5A9,194
135,Pearl Light Gray,9CA3A8,296
7,Light Gray,9BA19D,2
179,Flat Silver,898788,315
8,Dark Gray,6D6E5C,27
72,Dark Bluish Gray,6C6E68,199
40,Trans-Brown,635F52,111
1095,Trans-Black,635F52,375
32,Trans-Black IR Lens,635F52,109
148,Pearl Dark Gray,575857,148
1103,Pearl Titanium,3E3C39,316
133,Speckle Black-Gold,05131D,305
75,Speckle Black-Copper,05131D,306
132,Speckle Black-Silver,05131D,304
0,Black,05131D,26
117,Glitter Trans-Clear,FFFFFF,117
15,White,FFFFFF,1
1143,Glitter Milky White,FFFFFF,122
1055,Opal Trans-Clear,FCFCFC,360
1000,Glow in Dark White,D9D9D9,329
